time,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15(直行公交),lane16,lane17,lane18,lane19,lane20
1,3,1,3,3,5,11,14,15,3,3,3,1,3,3,5,11,14,15,2,3
2,5,3,2,8,2,13,15,12,2,3,5,3,2,7,3,10,11,11,1,2
3,5,3,2,9,2,7,6,7,1,2,5,3,2,4,2,7,6,7,1,1
4,13,7,3,6,3,14,19,20,1,1,13,7,3,6,3,14,19,20,1,1
5,7,7,10,7,3,12,13,14,1,1,7,7,10,7,3,12,13,14,1,2
6,7,11,8,10,4,8,8,6,2,2,7,11,8,10,4,8,8,6,2,3
7,5,7,4,5,2,17,17,19,4,3,5,7,4,5,2,17,17,19,4,2
8,8,7,9,3,1,16,17,21,3,2,4,7,9,3,1,16,17,21,3,3
9,3,10,10,12,2,14,15,16,3,3,3,10,10,12,2,14,15,16,3,3
10,5,6,8,6,3,13,15,13,7,3,5,6,8,6,3,13,15,13,7,5
11,12,7,6,10,6,20,24,24,2,5,12,8,6,9,6,20,24,24,2,3
12,8,8,7,10,3,20,19,21,1,4,8,8,7,10,3,20,19,21,1,1
13,5,7,6,11,2,10,10,13,4,1,5,7,6,11,2,10,10,13,4,7
14,10,1,5,5,6,19,23,30,3,7,10,1,5,5,6,19,23,30,3,4
15,12,7,7,14,3,22,21,21,1,4,12,7,7,8,3,22,21,21,1,2
16,11,6,6,17,3,9,12,17,3,5,11,6,6,17,3,9,12,17,3,3
17,11,6,8,8,5,24,25,21,3,3,11,6,7,8,5,24,25,21,3,3
18,7,5,5,17,3,21,29,20,1,3,7,4,5,17,3,21,29,20,1,4
19,13,8,10,15,3,16,25,23,3,3,13,8,10,15,3,16,25,23,3,3
20,12,8,6,14,1,13,14,14,4,4,12,8,6,14,1,13,14,14,4,4
21,4,9,9,7,3,20,22,26,3,3,4,9,9,7,3,20,22,26,3,3
22,9,10,14,14,4,20,21,22,1,1,9,10,14,14,4,20,21,22,1,1
23,8,10,8,17,3,8,11,10,3,4,8,10,8,17,3,8,11,10,3,4
24,14,6,2,9,5,21,27,25,3,2,14,6,2,9,5,21,27,25,3,2
25,13,9,7,18,3,25,22,27,1,2,13,9,7,18,3,25,22,27,1,2
