time,lane1,lane2,lane3,lane4(公交直行),lane5,lane6,lane7,lane8,lane9,lane10,lane11,lane12(公交直行),lane13,lane14,lane15(公交直行),lane16
1,2,3,1,3,15,14,8,2,5,3,2,1,8,15,3,2
2,1,4,3,1,6,10,5,4,1,2,2,2,9,10,4,6
3,2,4,2,4,9,11,5,3,1,3,3,5,13,17,7,5
4,2,2,2,2,15,23,12,5,1,3,4,3,8,16,5,4
5,4,4,3,1,11,17,6,8,2,2,6,3,15,14,5,8
6,3,7,4,4,15,12,5,5,6,5,5,2,10,14,4,10
7,4,8,2,3,17,21,13,7,4,5,4,3,18,19,6,13
8,6,9,5,1,19,17,13,4,5,5,2,2,24,26,10,7
9,5,10,4,2,13,15,8,9,3,5,2,1,18,17,10,12
10,6,4,2,4,15,20,14,8,6,7,1,2,22,32,14,13
11,6,7,6,1,17,26,17,6,3,4,6,1,24,31,13,7
12,7,10,8,2,12,14,8,4,2,5,11,3,18,22,10,15
13,8,9,5,2,19,24,18,5,7,8,3,1,15,15,8,9
14,7,5,3,1,24,24,19,6,8,5,1,2,19,24,11,9
15,5,6,7,2,14,22,13,7,6,10,12,1,13,19,15,5
16,6,10,2,2,16,15,13,6,5,4,5,1,18,25,11,14
17,5,8,1,5,28,27,15,9,5,6,2,1,23,30,12,17
18,5,3,3,1,19,32,14,7,7,7,10,1,25,32,16,10
19,5,4,8,4,16,22,15,6,3,2,4,1,15,19,7,12
20,5,5,1,1,21,29,18,9,5,5,6,4,23,29,9,13
21,5,4,9,1,30,30,17,3,6,3,6,1,21,44,11,5
22,9,10,5,3,18,16,10,5,7,4,8,3,17,20,11,17
23,12,10,4,1,23,29,9,6,6,7,9,2,20,21,14,18
24,3,6,5,2,24,33,16,6,3,3,7,1,32,30,13,17
25,8,10,4,2,20,20,14,3,6,6,8,2,25,34,13,12
