time,lane1,lane2,lane3,lane4,lane5(直行公交),lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18
1,7,8,5,2,11,15,20,1,1,8,5,6,2,11,15,6,3,3
2,6,6,2,2,9,13,10,1,3,13,7,9,0,13,11,11,4,5
3,3,8,2,3,6,9,12,1,2,16,9,8,2,10,13,7,7,4
4,3,4,6,2,16,20,21,1,2,5,2,13,2,10,15,13,9,7
5,9,13,3,3,10,14,13,2,4,13,9,10,1,13,15,14,5,5
6,8,6,9,3,11,14,14,1,2,24,13,8,3,9,15,10,4,4
7,5,5,3,2,20,18,20,1,5,6,4,6,1,19,18,21,7,4
8,4,8,15,3,15,22,21,5,2,19,10,13,1,23,25,27,7,6
9,12,12,14,2,13,13,11,2,3,15,8,6,1,15,18,17,8,7
10,6,11,7,3,17,23,21,4,4,13,5,6,2,19,23,17,10,9
11,3,5,9,2,21,25,24,3,5,12,6,12,3,33,28,31,8,6
12,9,12,10,4,15,16,17,4,3,16,10,5,4,16,21,19,8,9
13,7,14,7,1,16,20,21,5,6,21,11,5,1,12,13,9,7,4
14,3,4,7,4,20,24,23,4,5,18,7,11,1,19,28,18,10,9
15,24,17,9,3,18,20,20,5,2,29,13,15,1,27,26,27,6,4
16,10,7,8,2,11,15,18,6,8,27,12,15,3,14,11,13,13,6
17,7,7,6,6,26,27,28,2,2,17,8,5,1,27,32,29,7,10
18,4,14,11,3,20,23,30,3,4,23,13,18,3,24,26,23,3,4
19,12,15,16,2,17,16,19,6,10,25,12,13,4,10,13,13,9,8
20,10,16,3,4,21,26,22,6,5,24,9,8,2,26,25,25,10,9
21,5,6,13,1,20,30,27,3,3,12,9,13,1,22,20,25,5,9
22,11,10,8,1,17,17,16,5,6,16,10,10,2,20,22,22,15,13
23,13,11,8,2,15,17,14,5,6,30,13,8,1,19,11,23,7,6
24,10,10,17,2,18,18,26,1,12,24,11,11,1,29,31,30,13,16
25,10,12,15,3,24,24,25,3,2,29,17,13,2,25,25,27,4,6
