time,lane1,lane2,lane3,lane4,lane5(直行公交),lane6,lane7,lane8,lane9,lane10,lane11,lane12,lane13,lane14,lane15,lane16,lane17,lane18,lane19
1,7,7,5,3,2,9,7,6,5,4,3,2,6,2,2,11,16,6,8
2,8,7,6,3,5,19,19,16,4,3,2,1,5,3,1,19,21,7,8
3,12,7,5,4,5,18,19,18,2,9,6,5,11,6,2,15,16,7,6
4,16,8,6,4,1,8,13,8,8,5,3,1,12,1,3,9,15,8,5
5,11,4,8,4,3,23,31,23,3,7,3,1,3,12,1,16,21,9,4
6,9,9,4,4,5,19,23,19,1,4,6,2,7,4,3,21,30,9,8
7,11,9,6,7,1,18,20,16,6,10,4,2,10,3,1,20,23,5,9
8,14,5,4,8,3,19,22,18,10,23,8,5,2,6,3,23,25,15,9
9,12,5,9,6,3,23,22,22,1,11,6,4,17,2,2,30,34,16,7
10,21,4,13,6,5,27,25,21,7,14,7,4,6,8,1,21,19,12,16
11,12,10,5,4,2,16,17,14,11,9,7,7,7,3,3,28,37,26,3
12,9,7,10,2,6,30,31,21,11,7,5,1,6,8,1,20,29,16,13
13,12,4,9,10,3,24,24,22,4,13,6,4,7,10,2,25,29,15,6
14,17,6,11,9,5,12,13,10,9,9,1,2,9,4,3,18,23,11,6
15,14,6,7,6,2,27,33,30,9,15,6,2,5,10,1,38,39,17,12
16,21,10,7,7,2,26,25,22,6,14,6,5,8,5,3,25,31,18,3
17,12,9,12,7,5,22,24,19,18,17,7,10,16,3,1,15,24,11,17
18,11,8,4,5,4,21,19,18,13,6,6,4,5,7,3,31,37,10,17
19,20,5,13,8,2,34,34,25,15,10,4,3,11,9,4,25,38,19,9
20,20,9,9,7,7,27,32,27,8,14,6,3,10,9,3,17,24,12,13
21,10,9,11,4,2,16,18,14,10,19,8,9,8,6,3,23,19,20,15
22,11,7,7,9,2,34,30,24,12,7,5,3,3,8,2,33,35,27,8
23,13,9,10,8,3,30,27,27,6,9,6,6,5,3,2,26,30,20,6
24,10,8,9,3,3,15,17,13,7,10,6,5,9,4,3,28,30,24,13
25,15,7,10,10,2,29,34,29,12,16,8,5,8,8,2,26,28,23,14
