phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
9,1,2,11,3,18,1,4,34,11,6,42
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
9,1,2,11,3,18,1,4,34,11,6,42
8,5,29,7,6,35,9,5,35,1,5,41
7,5,27,7,5,31,1,5,35,1,5,39
5,5,28,9,5,32,9,7,41,11,6,42
9,6,30,9,8,33,9,10,43,1,5,39
9,8,32,9,9,36,9,10,38,11,6,40
9,10,38,9,12,47,9,12,45,1,5,41
9,11,41,9,12,48,9,13,46,1,6,49
9,15,49,9,17,57,9,19,55,11,6,47
9,16,53,9,18,61,9,20,51,1,5,44
9,17,48,9,18,53,9,18,46,11,5,40
9,15,45,9,16,48,9,17,46,1,4,37
9,13,41,9,14,45,9,16,41,1,5,36
9,14,38,9,16,42,9,17,44,11,5,41
9,14,41,9,15,42,9,15,43,11,5,37
9,15,43,9,17,43,9,18,45,9,5,40
9,16,45,9,17,48,9,18,43,1,5,41
9,13,46,9,15,43,9,15,38,9,5,41
9,13,47,9,14,46,9,15,39,2,5,48
9,12,49,9,14,50,9,14,43,11,6,54
9,10,43,9,11,42,9,12,36,9,6,49
9,11,39,9,13,41,9,13,46,11,5,46
9,7,37,9,8,36,9,8,34,1,5,41
5,4,20,7,4,28,1,4,29,11,6,42
5,4,23,7,3,21,11,4,25,11,5,42
7,5,25,7,5,27,1,4,30,11,6,44
5,4,24,7,5,29,1,4,32,11,6,43
5,5,29,7,6,33,1,4,35,1,5,42
5,4,24,9,4,28,1,4,31,11,6,45
5,4,25,9,4,30,9,5,32,11,6,52
5,5,29,7,5,37,1,5,35,1,7,57
5,5,28,7,5,33,1,4,30,1,6,56
7,5,26,7,5,31,1,4,32,11,7,54
15,6,28,7,4,31,1,5,32,1,6,52
15,7,27,7,4,31,1,4,33,1,6,50
15,6,28,7,4,35,1,4,34,1,6,51
15,5,24,7,4,37,9,6,40,1,6,52
15,6,24,7,4,31,1,5,36,1,6,52
15,6,23,7,4,28,1,5,32,1,6,49
15,7,24,7,4,27,1,5,39,1,6,53
15,5,25,7,4,28,1,5,38,1,7,61
15,5,24,7,4,27,1,5,41,11,7,57
